exact_match	gold	id	normalized_exact_match	prediction	question	sari
False	cylinders @@SEP@@ cubes @@SEP@@ the number of @@1@@ @@SEP@@ the number of @@2@@ @@SEP@@ which is highest of @@3@@ , @@4@@	CLEVR_dev_6638	True	cylinders @@SEP@@ cubes @@SEP@@ number of @@1@@ @@SEP@@ number of @@2@@ @@SEP@@ which is more of @@3@@ , @@4@@	Ae the more cylinders or cubes?	0.8303414580588493
False	the objects @@SEP@@ what @@1@@ have in common	CLEVR_dev_1783	False	objects @@SEP@@ @@1@@ that have in common	All of the objects have something in common; what is it?	0.6615800865800866
True	large spheres @@SEP@@ color of @@1@@	CLEVR_dev_6917	True	large spheres @@SEP@@ color of @@1@@	All the large spheres are what color?	1.0
False	matte cubes @@SEP@@ color of @@1@@	CLEVR_dev_4787	True	cubes @@SEP@@ @@1@@ that are matte @@SEP@@ the color of @@2@@	All the matte cubes are what color?	0.6321428571428571
False	objects @@SEP@@ colors of @@1@@ @@SEP@@ number of @@2@@ @@SEP@@ if @@3@@ is more than one	CLEVR_dev_4991	False	objects @@SEP@@ @@1@@ that are different @@SEP@@ number of @@2@@	Alre these object all different colors?	0.6822150072150072
False	cylinders @@SEP@@ colors of @@1@@ @@SEP@@ are all @@2@@ the same	CLEVR_dev_405	False	cylinders in this image @@SEP@@ colors of @@1@@ @@SEP@@ Are all @@2@@ the same	Are all cylinders in this image the same color?	0.6228851987365919
False	cylinders @@SEP@@ the materials that @@1@@ are made of @@SEP@@ if all of @@2@@ are the same	CLEVR_dev_5131	False	cylinders @@SEP@@ materials of @@1@@ @@SEP@@ Are @@2@@ all the same	Are all cylinders made of the same material?	0.6372968818620993
False	all @@SEP@@ materials of @@1@@ @@SEP@@ are @@2@@ all the same	CLEVR_dev_6797	False	all made of the same material	Are all made of the same material?	0.4407407407407407
False	all of the balls @@SEP@@ the material for each of @@1@@ @@SEP@@ is @@2@@ the same	CLEVR_dev_1710	False	balls @@SEP@@ materials of @@1@@ @@SEP@@ Are @@2@@ all the same	Are all of the balls of the same material?	0.4414502164502165
False	cubes @@SEP@@ @@1@@ that are blue @@SEP@@ @@2@@ that are metallic @@SEP@@ the number of @@3@@ @@SEP@@ the number of @@1@@ @@SEP@@ if @@4@@ and @@5@@ are equal	CLEVR_dev_3253	False	cubes @@SEP@@ @@1@@ that are blue @@SEP@@ @@1@@ that are metallic @@SEP@@ number of @@2@@ @@SEP@@ number of @@3@@ @@SEP@@ if @@4@@ and @@5@@ are equal	Are all of the cubes blue and metallic?	0.8738826161854473
False	cubes @@SEP@@ are all of @@1@@ identical	CLEVR_dev_3483	False	cubes @@SEP@@ if all @@1@@ Are identical	Are all of the cubes identical?	0.5887626262626262
False	cubes @@SEP@@ materials of @@1@@ @@SEP@@ are @@2@@ all the same	CLEVR_dev_5111	False	cubes @@SEP@@ material for each @@1@@ @@SEP@@ Are all @@2@@ the same	Are all of the cubes made from the same material?	0.6653619528619529
False	cubes @@SEP@@ materials of @@1@@ @@SEP@@ are all of @@2@@ the same	CLEVR_dev_2420	True	cubes @@SEP@@ materials of @@1@@ @@SEP@@ Are @@2@@ all the same	Are all of the cubes made out of the same material?	0.8057663190209631
